"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"390",4.24046960718338,27.4804919794742,1,0,0,0,792,0,0,1608
"391",4.20258565701353,24.6985259923358,1,0,0,0,526,0,0,1440
"392",4.66226533766061,32.0211003766166,1,0,0,0,1176,0,0,1784
"393",4.71678981790807,34.9534151512162,1,0,0,0,1109,0,0,1763
"394",5.40891877483365,40.2090816950522,1,0,0,0,1042,0,0,1777
"395",4.44305073371568,26.8412401682864,1,0,0,0,216,0,0,1467
"396",4.51403160824395,29.045739954742,1,0,0,0,799,0,0,1560
"397",4.82631487026669,33.2606227921819,1,0,0,0,1076,0,0,1730
"398",4.64620926676825,24.7961457265315,1,0,0,0,129,0,0,1262
"399",6.2703786952734,38.101241837767,1,0,0,0,374,0,0,1429
"400",4.70131701389378,28.098249874959,1,0,0,0,247,0,0,1445
"401",5.99519498650426,34.1109900506308,1,0,0,0,144,0,0,1315
"402",5.23345941625827,28.2212646070112,1,0,0,0,219,0,0,1238
"403",6.2919101593696,37.4863685024177,1,0,0,0,345,0,0,1334
"404",5.44274836569708,32.6775004890448,1,0,0,0,305,0,0,1427
"405",5.78300510683313,34.3906762404714,1,0,0,0,133,0,0,1407
"406",3.43709158729042,9.60516788975818,1,0,0,0,3340,0,0,778
"407",5.31042594993336,27.6029018850359,1,0,0,0,809,0,0,1155
"408",6.30122893573635,26.3399604933965,1,0,0,0,2755,0,0,913
"409",3.8706549286862,20.0276337048213,1,0,0,0,177,0,0,1185
"410",5.95784968098363,34.696020239558,1,0,0,0,290,0,0,1321
"411",4.17612888338419,23.1316633144829,1,0,0,0,355,0,0,1395
"412",6.03207098611931,34.3655802483667,1,0,0,0,79,0,0,1290
"413",4.81967971676282,26.3126918118026,1,0,0,0,606,0,0,1136
"414",4.58512686367772,24.886137114936,1,0,0,0,461,0,0,1200
"415",4.46749229166008,19.8276100166823,1,0,0,0,1620,0,0,954
"416",5.65222716975922,34.4586686442292,1,0,0,0,255,0,0,1460
"417",3.845614208264,19.2511812152324,1,0,0,0,481,0,0,1114
"418",6.4436533875561,40.1129055913639,1,0,0,0,216,0,0,1444
"419",5.52787588019795,34.0192951183357,1,0,0,0,211,0,0,1394
"420",4.2268838495091,19.7958387848301,1,0,0,0,1286,0,0,1026
"421",4.90862622949591,26.0601717866205,1,0,0,0,502,0,0,1185
"422",3.2338251937408,16.1952976277745,1,0,0,0,940,0,0,1035
"423",6.28264182946307,36.2689294060219,1,0,0,0,137,0,0,1302
"424",4.63484880354397,19.2092832433067,1,0,0,0,2170,0,0,937
"425",4.87263963411181,29.11070052032,1,0,0,0,182,0,0,1403
"426",4.30992978835356,18.9654641343375,1,0,0,0,1564,0,0,931
"427",5.17179975852875,23.8738604182849,1,0,0,0,1752,0,0,1003
"428",5.63142723223781,32.3138778589664,1,0,0,0,81,0,0,1286
"429",5.27481160421097,24.7686484891542,1,0,0,0,1664,0,0,1010
"430",5.19680459597414,22.9403885692275,1,0,0,0,1770,0,0,991
"431",3.84405064798237,22.4477372543446,1,0,0,0,245,0,0,1405
"432",5.22068756635827,27.4679051249139,1,0,0,0,326,0,0,1253
"433",5.27789822973877,29.8250979551258,1,0,0,0,334,0,0,1298
"434",3.75014970821691,13.1279120492802,1,0,0,0,2580,0,0,851
"435",4.34463116156922,25.5799386426975,1,0,0,0,60,0,0,1289
